,dstNode,Packets,Kilobytes
0,Edge,10981836.144140188,1035038.6516977052
1,R1,5040129.723209991,1527534.0982160033
2,R10,4314110.3182,678790.4222649994
3,R11,786356.0755998213,31676.43508738818
4,R13,4835530.014565783,355381.0668616775
5,R14,759660.3915759998,48160.98718499997
6,R15,359327.1217600001,24489.174668999985
7,R16,304198.20305480086,18739.11752520001
8,R17,5227466.345901859,558326.6972063094
9,R18,7293018.39742911,625096.6001109811
10,R19,9383507.844942223,1040896.8865036699
11,R2,9844534.424345078,2539650.633124008
12,R20,4985178.813061641,543954.4409710102
13,R21,2144659.2564999103,82037.42757035988
14,R22,1565621.750305591,90480.55864770006
15,R23,3727940.5383457285,267501.1982866664
16,R3,7004101.209600038,1563278.2364739974
17,R4,1688148.276599999,253346.80399499927
18,R6,10332533.229400147,1389555.4033568054
19,R7,759660.3915759998,48160.98718499997
20,R8,10422792.773996284,1502565.675728991
21,R9,15213067.000795778,2535835.2223880007
